nome,genero,data_nascimento,presenca_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_mai_par,gasto_jun_par,gasto_jul_par,gasto_ago_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_mai_gab,gasto_jun_gab,gasto_jul_gab,gasto_ago_gab,gasto_set_gab,gasto_out_gab
PAULO SERGIO ABOU ANNI,M,06/11/1966,87,2,3,22,13,1,302061.79,27405.24,16072.33,68763.27,67772.79,75533.07,13287.62,13475.02,2147.73,3052.73,13667.56,884.43,1106081.53,110146.28,109221.14,108215.19,111647.46,111647.46,111647.46,111520.66,110906.26,111574.67,109554.95
JOSÉ ALFONSO EBERT HAMM,M,25/04/1962,82,1,9,23,15,4,355626.33,26704.69,37647.85,52022.57,63625.31,51839.35,42409.07,42196.47,28484.31,7092.15,2586.25,1018.31,1113027.42,111586.80,111586.80,111586.80,109249.43,111405.22,111659.59,111016.81,111616.75,111659.61,111659.61
JOSE ABILIO SILVA DE SANTANA,M,13/02/1965,74,0,0,14,10,0,247344.95,33227.00,39252.23,40431.29,42361.77,47223.74,35504.89,9344.03,,,,0.00,1108321.75,111465.40,110533.22,110100.41,110786.04,110880.16,111233.47,110081.76,111544.21,110215.80,111481.28
AFONSO ANTUNES DA MOTTA,M,08/01/1950,90,2,0,33,16,10,352096.20,32139.72,33987.87,68366.38,63600.42,35921.80,29311.40,34287.44,24321.70,16769.66,12379.32,1010.49,1032442.88,104034.98,104034.98,103913.86,100280.23,99498.32,99974.51,104249.61,105630.26,105630.26,105195.87
ACÁCIO DA SILVA FAVACHO NETO,M,28/09/1983,62,0,30,7,13,10,359004.95,53128.93,68164.59,36043.19,33949.34,34152.00,31013.23,28767.50,36398.45,23741.26,13646.46,0.00,1102803.66,111580.74,110219.17,111580.74,111580.74,111616.38,111344.83,104998.59,107400.25,111241.11,111241.11
ADOLFO VIANA DE CASTRO NETO,M,02/02/1981,74,0,18,3,2,0,321178.70,52708.80,40019.47,45679.91,28915.46,51013.39,21158.76,53593.14,17135.90,5153.87,5800.00,0.00,1038693.82,99324.67,102260.18,104117.05,105126.72,105126.72,104072.48,102746.18,105126.72,105126.72,105666.38
AÉCIO NEVES DA CUNHA,M,10/03/1960,82,0,10,5,9,2,277312.30,39186.59,27534.82,38926.50,34658.66,30032.66,23189.71,18791.37,19260.07,25008.05,18219.61,2504.26,1060028.98,94326.90,95955.27,100909.09,106586.03,109801.60,110143.24,110143.24,109220.27,111471.67,111471.67
AELTON JOSÉ DE FREITAS,M,15/12/1961,83,7,2,22,14,2,368130.16,37592.87,44508.37,46095.45,33084.47,49928.24,19715.12,38644.85,22680.38,19806.39,55061.64,1012.38,1102022.19,111326.04,111343.59,111629.35,111629.35,111457.94,111397.84,107361.35,107874.60,107874.60,110127.53
ADRIANO ANTÔNIO AVELAR,M,06/09/1969,84,1,7,9,0,0,238725.15,26827.37,31162.48,34102.08,32659.20,43822.18,18733.88,26482.48,13619.31,5864.59,5451.58,0.00,1091517.67,109773.26,106916.25,106916.25,107440.95,110064.42,109807.22,110492.94,109977.54,110064.42,110064.42
AFONSO BANDEIRA FLORENCE,M,15/10/1960,79,0,13,7,15,2,323535.74,49117.18,40471.77,63232.46,51564.67,16600.90,32319.33,21335.62,19915.04,12458.57,16520.20,0.00,1113757.81,111448.69,111580.78,111503.72,111580.81,111279.06,111350.26,110053.76,111653.57,111653.58,111653.58
AGUINALDO VELLOSO BORGES RIBEIRO,M,13/02/1969,69,1,5,14,10,3,240198.29,15195.95,42563.48,38064.38,47346.47,40346.90,35149.41,21531.70,,,,0.00,1111197.30,111119.73,111119.73,111119.73,111119.73,111119.73,111119.73,111119.73,111119.73,111119.73,111119.73
ALCIDES RODRIGUES FILHO,M,08/10/1950,88,4,0,51,9,0,343296.43,8890.42,41162.85,42491.68,43132.46,49169.45,47869.00,38484.01,34961.71,33557.10,2541.76,1035.99,1070565.32,97480.30,101596.46,101596.46,103343.42,109370.27,111049.41,111532.25,111532.25,111532.25,111532.25
AIRTON LUIZ FALEIRO,M,16/03/1959,80,10,2,39,34,1,310929.21,35394.75,15750.75,52334.70,69448.32,59994.95,30701.91,23743.07,13560.75,10000.01,0.00,0.00,1106094.83,110495.06,109093.86,108711.72,110056.29,111289.65,111289.65,111289.65,111289.65,111289.65,111289.65
ANTONIO JOSE AGUIAR ALBUQUERQUE,M,26/09/1983,77,7,8,8,8,4,285631.58,20904.41,48923.15,29493.45,50213.67,61247.64,8046.24,21729.25,18453.95,10715.78,15326.76,577.28,1070478.23,111386.57,111386.57,111386.57,111127.78,111422.99,111217.97,109372.75,91130.31,101450.80,100595.92
ALCEU MOREIRA DA SILVA,M,04/06/1954,79,3,10,25,4,6,333913.36,33409.67,47543.73,66396.79,41576.56,28880.58,28442.87,24547.55,21775.28,18521.58,22474.78,343.97,1099097.84,111429.24,111429.24,111389.34,109930.00,111580.90,111595.06,111376.03,111097.00,104210.91,105060.12
ALAN RICK MIRANDA,M,23/10/1976,68,3,4,25,6,4,260266.82,25341.00,49605.50,42101.87,52911.63,58520.65,22071.70,9714.47,,,,0.00,1078268.62,101892.42,102534.86,102426.62,104157.16,111523.01,109314.55,111605.00,111605.00,111605.00,111605.00
ALEX SPINELLI MANENTE,M,22/08/1979,89,0,3,4,4,1,132011.29,15300.72,26359.99,26151.48,23508.22,16355.44,10874.70,4235.82,9077.31,5.81,141.80,0.00,1112704.43,111198.59,111198.59,111198.59,110898.74,111423.01,111461.43,110601.41,111574.69,111574.69,111574.69
ALENCAR SANTANA BRAGA,M,14/03/1976,80,0,12,22,0,1,270999.83,34345.52,35493.58,35440.42,38514.90,38770.46,18197.70,26020.76,6807.71,1491.64,35464.05,453.09,1110423.93,111647.56,108748.11,110276.93,111574.82,111574.82,111574.82,111574.82,110900.35,111538.44,111013.26
ALESSANDRO LUCCIOLA MOLON,M,28/10/1971,91,1,0,12,28,0,255002.23,31570.48,30384.44,50567.81,42126.95,31402.04,27611.34,29369.28,10660.58,519.41,789.90,0.00,1030438.74,101372.00,101372.00,101372.00,101372.00,106377.09,105013.12,107668.34,104046.06,98184.61,103661.52
ALEX MARCO SANTANA SOUSA,M,22/06/1972,79,5,8,11,10,5,348773.27,36828.58,39595.76,45254.75,45428.67,30562.91,32839.29,36321.00,33993.98,23336.07,24612.26,0.00,1112649.83,110321.85,111060.20,110244.74,111574.72,111574.72,111574.72,111574.72,111574.72,111574.72,111574.72
